ROTUNDA,,,,,
"August 17, 2026",,,,,
6:00 AM - 8:00 AM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
6:00 - 6:15,Diretso,Y,3,P,9
,L2,Y,2,P,
,Diretso,N,,P,
,Diretso,Y,4,P,
,L2,Y,2,E,
,Diretso,Y,2,P,
,Diretso,N,,P,
,L2,N,,P,
,Diretso,Y,5,E,
,RAWIS A,Y,1,P,
6:15 - 6:30,Diretso,Y,3,P,14
,L2,Y,2,P,
,Diretso,Y,6,P,
,RAWIS A,N,,P,
,Diretso,N,,P,
,L2,Y,3,P,
,Diretso,Y,4,E,
,Diretso,Y,2,P,
,L2,N,,P,
,Diretso,Y,5,P,
,RAWIS B,Y,2,P,
,Diretso,Y,4,E,
6:30 - 6:45,Diretso,Y,7,P,22
,L2,Y,4,P,
,Diretso,Y,3,P,
,Diretso,N,,F,
,L2,N,,P,
,Diretso,Y,6,P,
,RAWIS A,Y,2,P,
,Diretso,Y,5,E,
,Diretso,Y,4,P,
,L2,Y,3,P,
,Diretso,Y,8,P,
,Diretso,N,,F,
,L2,Y,2,P,
6:45 - 7:00,Diretso,Y,9,P,28
,L2,Y,3,P,
,Diretso,Y,6,E,
,Diretso,N,,F,
,L2,N,,P,
,RAWIS B,Y,2,P,
,Diretso,Y,7,E,
,Diretso,Y,5,P,
,L2,Y,4,P,
,Diretso,Y,10,P,
,Diretso,N,,F,
,L2,Y,2,P,
,Diretso,Y,4,E,
,Diretso,Y,6,P,
7:00 - 7:15,Diretso,Y,5,P,18
,L2,Y,3,P,
,Diretso,Y,6,E,
,Diretso,N,,P,
,RAWIS A,Y,2,P,
,L2,Y,2,P,
,Diretso,Y,4,P,
,Diretso,N,,F,
,Diretso,Y,3,E,
,L2,N,,P,
,Diretso,Y,5,P,
7:15 - 7:30,Diretso,Y,6,E,12
,L2,N,,P,
,Diretso,Y,4,P,
,Diretso,Y,5,E,
,Diretso,Y,3,F,
,L2,Y,2,P,
,Diretso,Y,4,E,
,Diretso,N,,P,
,L2,Y,1,P,
7:30 - 7:45,Diretso,Y,4,P,7
,L2,N,,P,
,RAWIS A,Y,2,P,
,Diretso,Y,3,E,
,L1,N,,E,
,Diretso,Y,3,P,
,L2,Y,2,P,
7:45 - 8:00,Diretso,Y,3,P,3
,L2,Y,2,F,
,Diretso,N,,P,
,RAWIS B,N,,P,
,Diretso,Y,2,P,
,,,,,
ROTUNDA,,,,,
"August 17, 2026",,,,,
11:00 AM - 1:00 PM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
11:00 - 11:15,Diretso,Y,7,E,19
,L2,Y,3,P,
,Diretso,Y,5,P,
,Diretso,N,,P,
,L2,N,,P,
,Diretso,Y,9,E,
,RAWIS A,Y,2,P,
,Diretso,Y,6,P,
,Diretso,Y,4,P,
,L2,Y,4,P,
,Diretso,N,,F,
,Diretso,Y,8,E,
11:15 - 11:30,Diretso,Y,11,E,29
,L2,Y,5,P,
,Diretso,Y,8,P,
,Diretso,N,,P,
,RAWIS B,Y,3,P,
,Diretso,Y,10,E,
,L2,Y,6,P,
,Diretso,Y,12,E,
,Diretso,Y,7,P,
,L2,N,,F,
,Diretso,Y,9,P,
,Diretso,Y,11,E,
11:30 - 11:45,Diretso,Y,14,E,42
,L2,Y,7,P,
,Diretso,Y,10,E,
,RAWIS A,N,,P,
,Diretso,Y,15,E,
,L2,N,,F,
,Diretso,Y,9,P,
,Diretso,Y,11,E,
,L2,Y,5,P,
,Diretso,Y,12,P,
,Diretso,Y,8,P,
,L2,Y,4,F,
,Diretso,Y,10,E,
,Diretso,Y,13,E,
11:45 - 12:00,Diretso,Y,16,E,49
,L2,Y,9,E,
,Diretso,Y,12,P,
,Diretso,N,,F,
,RAWIS A,Y,4,P,
,L2,Y,6,P,
,Diretso,Y,14,E,
,Diretso,Y,11,P,
,L2,N,,F,
,Diretso,Y,9,P,
,Diretso,Y,13,E,
,RAWIS B,Y,3,P,
,L2,Y,7,P,
,Diretso,N,,F,
12:00 - 12:15,Diretso,Y,15,E,36
,L2,Y,8,P,
,Diretso,Y,10,E,
,Diretso,Y,12,P,
,RAWIS A,N,,F,
,L2,Y,5,P,
,Diretso,Y,9,P,
,Diretso,N,,F,
,L2,Y,6,E,
,Diretso,Y,11,P,
,Diretso,Y,7,P,
,L2,Y,4,P,
12:15 - 12:30,Diretso,Y,9,E,25
,L2,Y,5,P,
,Diretso,Y,8,P,
,RAWIS B,Y,3,P,
,Diretso,Y,10,E,
,L2,N,,F,
,Diretso,Y,7,P,
,Diretso,N,,F,
,L2,Y,4,P,
,Diretso,Y,6,P,
,Diretso,Y,8,E,
12:30 - 12:45,Diretso,Y,7,P,17
,L2,Y,4,E,
,Diretso,Y,6,P,
,RAWIS A,N,,F,
,Diretso,N,,F,
,L2,N,,P,
,Diretso,Y,5,P,
,Diretso,Y,8,P,
,L2,Y,3,P,
12:45 - 1:00,Diretso,Y,5,P,9
,L2,Y,3,P,
,Diretso,Y,4,P,
,Diretso,Y,3,P,
,,,,,
ROTUNDA,,,,,
"August 17, 2026",,,,,
4:00 PM - 6:00 PM,,,,,
Time,Jeepney Route ,Stopped,Passengers ,Fullness,Waiting
4:00 - 4:15,Diretso,Y,6,E,18
,L2,Y,3,P,
,Diretso,Y,8,P,
,RAWIS A,N,,P,
,Diretso,Y,5,P,
,L2,N,,P,
,Diretso,Y,9,E,
,Diretso,Y,7,P,
,L2,Y,4,P,
,Diretso,N,,F,
,Diretso,Y,6,P,
4:15 - 4:30,Diretso,Y,10,E,28
,L2,Y,5,P,
,Diretso,Y,7,P,
,RAWIS B,N,,F,
,Diretso,Y,12,E,
,L2,Y,6,P,
,Diretso,Y,9,P,
,Diretso,Y,11,E,
,L2,N,,F,
,Diretso,Y,8,P,
,RAWIS A,Y,3,P,
,Diretso,Y,10,E,
4:30 - 4:45,Diretso,Y,14,E,38
,L2,Y,8,P,
,Diretso,Y,11,P,
,Diretso,N,,F,
,RAWIS A,Y,5,P,
,L2,Y,7,P,
,Diretso,Y,13,E,
,Diretso,Y,10,P,
,L2,N,,F,
,Diretso,Y,12,P,
,Diretso,Y,9,P,
,L2,Y,6,P,
,Diretso,Y,11,E,
4:45 - 5:00,Diretso,Y,17,E,50
,L2,Y,10,P,
,Diretso,Y,15,E,
,RAWIS B,N,,F,
,Diretso,N,,F,
